region,sphere,field,area
streaming,rain cats and dogs,swarm,teem
firms,firm,house,steadfastly
trend,grade,of course,class
attennas
innovations,design,invention,conception
center,heart,midway,halfway
customers,customer,client
language,lyric poem,lyric,words
green,parking area,parking lot,park
goal,stop,finish,cease
eighth,one-eighth
outcome,consequence,impression,result
champion,leading,wizard,sensation
youth,early days
international,outside,external,extraneous
online,on-line
freedom,exemption,granting immunity,immunity
force,energy,button,fight
questions,interview,query,doubt
ending,stop,finish,cease
lark,frolic,run around,cavort
marriage,married couple,man and wife
misconceptions,misconception
airport,aerodrome,drome,airdrome
ferns,fern
square,agora,public square
passengers,passenger,rider
domestic,domesticated,house servant,domestic help
weekend
kilometers,kilometre,kilometer,klick
acquisition,science,skill,acquirement
seekers,quester,searcher,seeker
investment,investing,investiture,investment funds
properties,home,identify,lay
history,report,explanation,describe
profit,benefit,gain,do good
numbers,count,amount,total
meeting,assemble,see,cope with
vision,imagination,imagery,resource
criminal,turn,outlaw,bend
achievements,accomplishment,achievement
alternative,prime,selection,select
poverty,poorness,impoverishment
inequality
infected,septic
virus,computer virus
resources,imagination,resource,resourcefulness
assistance,assistant,assist,serve
memories,remembering,store,retentiveness
